lyrics,year,lable,name
"[Hook: Roger Waters]
Ooh, babe, don't leave me now

[Verse 1: Roger Waters]
Don't say it's the end of the road
Remember the flowers I sent
I need you, babe
To put through the shredder in front of my friends

[Hook: Roger Waters]
Oh, babe, don't leave me now

[Verse 2: Roger Waters]
How could you go?
When you know how I need you
(Need you, need you, need you, need you, need you, need you)
To beat to a pulp on a Saturday night

[Hook: Roger Waters]
Oh, babe, don't leave me now

[Verse 3: Roger Waters]
How can you treat me this way?
Running away
Ooh, babe, why are you running away?

[Outro: Roger Waters & David Gilmour]
Ooh, babe
Ooh, babe
Ooh, babe
Ooh, ooh
Argh!",1979,0,Pink Floyd
"[Intro]
*Sounds from TV*

[Verse: Roger Waters]
I don't need no arms around me
And I don't need no drugs to calm me
I have seen the writing on the wall
Don't think I need anything at all
No, don't think I'll need anything at all

[Chorus: Roger Waters]
All in all, it was all just bricks in the wall
All in all, you were all just bricks in the wall",1979,0,Pink Floyd
"[Verse: Roger Waters]
Goodbye, cruel world, I'm leaving you today
Goodbye, goodbye, goodbye
Goodbye, all you people, there's nothing you can say
To make me change my mind, goodbye",1979,0,Pink Floyd
"[Acoustic Guitar Intro]

[Verse 1: David Gilmour]
Hey you
Out there in the cold, getting lonely, getting old
Can you feel me?
Hey you
Standing in the aisles with itchy feet and fading smiles
Can you feel me?
Hey you
Don't help them to bury the light
Don't give in without a fight

[Verse 2: David Gilmour]
Hey you
Out there on your own, sitting naked by the phone
Would you touch me?
Hey you
With your ear against the wall, waiting for someone to call out
Could you touch me?
Hey you
Would you help me to carry the stone?
Open your heart, I'm coming home

[Guitar Solo]

[Bridge: Roger Waters]
But it was only fantasy
The wall was too high, as you can see
No matter how he tried, he could not break free
And the worms ate into his brain

[Breakdown]

[Verse 3: Roger Waters]
Hey you
Out there on the road, always doing what you're told
Can you help me?
Hey you
Out there beyond the wall, breaking bottles in the hall
Can you help me?
Hey you
Don't tell me there's no hope at all
Together we stand, divided we fall

[Outro: Roger Waters]
(We fall, we fall, we fall, we fall, we fall, we fall, we fall, we fall...)",1979,0,Pink Floyd
"[Intro]
""Well, only got an hour of daylight left. Better get started""
""Isn't it unsafe to travel at night?""
""It'll be a lot less safe to stay here. Your father's gonna pick up our trail before long""
""Can Lorca ride?""
""He'll have to ride. Lorca, time to go! Chengra, thank you for everything. Let's go.""
""Goodbye, Chengra""
""Goodbye, Missy!""
""I'll be back--one day""

[Refrain: Roger Waters & David Gilmour]
Is there anybody out there?
Is there anybody out there?
Is there anybody out there?
Ah, is there anybody out there?

[Instrumental Outro]",1979,0,Pink Floyd
"[Intro]
""But there's somebody else that needs taking care of in Washington...""
""Who's that?""
""Rose Pilchitt!""
""Rose Pilchitt? Who's that?""
*Kid screams in background*
(Shut up!)
""36-24-36 *Laughs* does that answer your question?""
(Oi! I've got a little black book with me poems in!)
""Who's she?""
""She was 'Miss Armoured Division' in 1961... ""

[Verse 1: Roger Waters]
I've got a little black book with my poems in
Got a bag with a toothbrush and a comb in
When I'm a good dog they sometimes throw me a bone in
I got elastic bands keeping my shoes on
Got those swollen hand blues
I've got thirteen channels of shit on the T.V. to choose from
I've got electric light
And I've got second sight
I've got amazing powers of observation

[Chorus 1: Roger Waters]
And that is how I know
When I try to get through
On the telephone to you
There will be nobody home

[Verse 2: Roger Waters]
I've got the obligatory Hendrix perm
And the inevitable pinhole burns
All down the front of my favourite satin shirt
I've got nicotine stains on my fingers
I've got a silver spoon on a chain
I've got a grand piano to prop up my mortal remains
I've got wild staring eyes
And I've got a strong urge to fly
But I've got nowhere to fly to (Fly to... fly to... fly to...)

[Chorus 2: Roger Waters]
Ooh, babe, when I pick up the phone
(""Surprise, surprise, surprise..."")
There's still nobody home

[Outro: Roger Waters]
I've got a pair of Gohills boots
And I've got fading roots",1979,0,Pink Floyd
"[Intro]
""Where the hell are you?
""Where the hell are you, Simon?"" *Shots*

[Verse: Roger Waters]
Does anybody here remember Vera Lynn?
Remember how she said that
We would meet again some sunny day?
Vera, Vera, what has become of you?
Does anybody else in here feel the way I do?",1979,0,Pink Floyd
"[Verse: Roger Waters]
Bring the boys back home
Bring the boys back home
Don't leave the children on their own, no, no
Bring the boys back home

[Outro]
""Wrong, do it again!""
*Knock* ""Time to go!""
""Are you feeling okay?""
""He keeps hanging up, and it's a man answering!""
""Hahahahaha!!!!!!""
Is there anybody out there?",1979,0,Pink Floyd
"[Intro]

[Verse 1: Roger Waters]
Hello? (Hello, hello, hello)
Is there anybody in there?
Just nod if you can hear me
Is there anyone home?
Come on (Come on, come on), now
I hear you're feeling down
Well, I can ease your pain
And get you on your feet again
Relax (Relax, relax, relax)
I'll need some information first
Just the basic facts
Can you show me where it hurts?

[Pre-Chorus 1: David Gilmour]
There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I had a fever
My hands felt just like two balloons
Now I've got that feeling once again
I can't explain, you would not understand
This is not how I am

[Chorus: David Gilmour]
I have become comfortably numb

[Guitar Solo 1]

[Chorus: David Gilmour]
I have become comfortably numb

[Verse 2: Roger Waters]
Okay (Okay, okay, okay)
Just a little pinprick
There'll be no more
But you may feel a little sick
Can you stand up? (Stand up, stand up)
I do believe it's working, good
That'll keep you going through the show
Come on, it's time to go

[Pre-Chorus 2: David Gilmour]
There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I caught a fleeting glimpse
Out of the corner of my eye
I turned to look, but it was gone
I cannot put my finger on it now
The child is grown, the dream is gone

[Chorus: David Gilmour]
I have become comfortably numb

[Guitar Solo 2]",1979,0,Pink Floyd
"[Intro: David Gilmour]
(Ah-ah) Ooh, ooh-hoo, ooh, ooh
(Ah-ah)
(Ah-ah)
(Ooh-ma, ah, ooh-pa) Must the show go on?
(Ooh-pa, take me home, take me home, take me home)
(Ooh-ma, let me go, let me go, let me go)

[Verse: David Gilmour]
There must be some mistake, I didn't mean to let them
Take away my soul, am I too old, is it too late?
(Ooh-ma, ooh-pa) Where has the feeling gone?
(Ooh-ma, ooh-pa) Will I remember the song?

[Outro: David Gilmour]
(Ooh, ooh, ah) The show must go on",1979,0,Pink Floyd
"[Intro]
""Three, two... fire!""

[Verse 1]
So ya thought ya might like to go to the show
To feel the warm thrill of confusion, that space cadet glow
I've got some bad news for you sunshine
Pink isn't well, he stayed back at the hotel
And they sent us along as a surrogate band
We're gonna find out where you fans really stand

[Verse 2]
Are there any queers in the theater tonight?
Get them up against the wall
(Against the wall)
Now there's one in the spotlight, he don't look right to me
Get him up against the wall
(Against the—)
And that one looks Jewish and that one's a coon!
Who let all of this riff-raff into the room?
There's one smoking a joint and another with spots
If I had my way, I'd have all of them shot!

[Instrumental Outro]",1979,0,Pink Floyd
"[Chorus: David Gilmour & Roger Waters]
Run, run, run, run
Run, run, run, run
Run, run, run, run
Run, run, run, run

[Verse 1: Roger Waters]
You better make your face up with your favourite disguise
With your button down lips and your roller blind eyes
With your empty smile and your hungry heart
Feel the bile rising from your guilty past
With your nerves in tatters as the cockleshell shatters
And the hammers batter down your door
You better run!

[Chorus: David Gilmour & Roger Waters]
Run, run, run, run
Run, run, run, run
Run, run, run, run
Run, run, run, run

[Verse 2: Roger Waters]
You better run all day and run all night
And keep your dirty feelings deep inside
And if you're taking your girlfriend out tonight
You better park the car well out of sight
'Cause if they catch you in the back seat trying to pick her locks
They're gonna send you back to Mother in a cardboard box
You better run!

[Synth Solo]

[Instrumental Outro]",1979,0,Pink Floyd
"[Intro]
""Eins, zwei, drei, alle!""
Ooh-ooh, you cannot reach me now
Ooh-ooh, no matter how you try
Goodbye, cruel world, it's over
Walk on by

[Verse 1: David Gilmour & Roger Waters]
Sitting in a bunker here behind my wall
Waiting for the worms to come (Worms to come)
In perfect isolation here behind my wall
Waiting for the worms to come

[Bridge: Roger Waters]
Testing. One. Two. One. Two. We’re all going to convene at 1:15 outside Brixton Town Hall where we will be going...

[Hook: Roger Waters]
(Waiting) To cut out the deadwood
(Waiting) To clean up the city
(Waiting) To follow the worms
(Waiting) To put on a black shirt
(Waiting) To weed out the weaklings
(Waiting) To smash in their windows and kick in their doors
(Waiting) For the final solution to strengthen the strain
(Waiting) To follow the worms
(Waiting) To turn on the showers and fire the ovens
(Waiting) For the queers and the coons and the reds and the Jews
(Waiting) To follow the worms

[Verse 2: David Gilmour & Roger Waters]
Would you like to see Britannia Rule again
My friend?
All you have to do is follow the worms
Would you like to send our coloured cousins home again
My friend?
All you need to do is follow the worms

[Outro]
Stop!",1979,0,Pink Floyd
"[Verse: Roger Waters]
I wanna go home
Take off this uniform and leave the show
But I'm waiting in this cell, because I have to know
(Have to know, have to know...)
Have I been guilty all this time?
(Have to know, have to know, have to know, have to know...)
(Time, time, time, time...)",1979,0,Pink Floyd
"[Instrumental Intro]

[Verse 1: Prosecutor]
Good morning, Worm your honour
The crown will plainly show the prisoner
Who now stands before you
Was caught red-handed showing feelings
Showing feelings of an almost human nature
This will not do
Call the schoolmaster!

[Verse 2: The Schoolmaster]
I always said he'd come to no good in the end your honour
If they'd let me have my way I could have flayed him into shape
But my hands were tied, the bleeding hearts and artists
Let him get away with murder, let me hammer him today

[Chorus 1: Pink (and Choir)]
Crazy, toys in the attic
I am crazy, truly gone fishing
They must have taken my marbles away!
(Crazy, toys in the attic, he is crazy)

[Verse 3: Wife]
You little shit, you're in it now, I hope they throw away the key
You should have talked to me more often than you did, but no!
You had to go your own way
Have you broken any homes up lately?
""Just five minutes, Worm your honour, him and me, alone""

[Verse 4: Mother]
Babe!
Come to mother baby, let me hold you in my arms
M'lud I never wanted him to get in any trouble
Why'd he ever have to leave me?
Worm, your honour, let me take him home

[Chrous 2: Pink (and Choir)]
Crazy, over the rainbow
I am crazy, bars in the window
There must have been a door there in the wall
When I came in
(Crazy, over the rainbow, he is crazy)

[Verse 5: The Judge]
The evidence before the court is incontrovertible
There's no need for the jury to retire
In all my years of judging, I have never heard before
Of someone more deserving of the full penalty of law
The way you made them suffer, your exquisite wife and mother
Fills me with the urge to defecate
(Go on, Judge, shit on him!)
Since, my friend, you have revealed your deepest fear
I sentence you to be exposed before your peers
Tear down the wall!

[Outro: Crowd]
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!
Tear down the wall!

*explosion*
*bricks crumbling*",1979,0,Pink Floyd
"[Verse]
All alone, or in twos
The ones who really love you
Walk up and down, outside the wall
Some hand in hand
And some gathered together in bands
The bleeding hearts and the artists make their stand
And when they've given you their all
Some stagger and fall, after all it's not easy
Banging your heart against some mad bugger's wall

[Outro]
Isn't this where...",1979,0,Pink Floyd
"Isn't this where…
…we came in?",1979,0,Pink Floyd
"[Verse 1]
I can think of younger days when living for my life
Was everything a man could want to do
I could never see tomorrow
But I was never told about the sorrows

[Chorus]
And, how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go round?
How can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart and let me live again

[Verse 2]
I can still feel the breeze that rustles through the trees
And misty memories of days gone by
We could never see tomorrow
No one said a word about the sorrow

[Chorus]
And how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go round?
And how can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart and let me live again

[Bridge]
La la la la la la, la la la la
La la la la la la, la la la la

[Outro]
Please help me mend my broken heart and let me live again
Da da da da
Da da da da, da da da da da, da",1971,0,Bee Gees
"[Verse 1]
You've had your troubles Israel
I've seen them all
But you put the writing on the wall
Israel, Israel

[Verse 2]
You know I've seen you fall so many times
I've cried for you and that's a crime
Israel, Israel, Israel

[Chorus]
Where there's sand
Where there's beautiful sand
You know you got a kind of feeling
That's just grand
Take me into your arms
Let me be with you
Israel, Israel, Israel

[Verse 3]
I like the smiles up on your people's faces
They make you feel warm embraces
And I want that kind of smile
That kind of smile
Israel you make the whole world think about you
And if they don't they'll find a reason
To shout about Israel, Israel

[Verse 4]
You're the only one, Israel, Israel
Tell me all about it!
Tell me all about it
Tell me all about it
Oh, take me into your arms
And make me feel your goodness
Be with me Israel
Take me into your arms
Let me hold hold you to myself
Oh, I want to, Israel

[Outro]
Israel, take me back into into your arms
Israel, Israel, Israel, Israel
Israel",1971,0,Bee Gees
"Before I heard your voice
I never heard a sound like that before
I wanna hear it more and more

Take me to heaven
My love is stronger than the wall
I'll climb it till I fall
So I can hear you call, your love

I'd be the greatest man in the world
'Cause I can say I got the greatest girl
I'd be the greatest man in the world
'Cause I can say I got the greatest girl

Before I saw your face
I never saw a dream like that before
I wanna see it more and more

Take me to heaven
My love is stronger than the wall
I'll climb it till I fall
So I can hear you call, your love

Be the greatest man in the world
'Cause I can say I've got the greatest girl
Be the greatest man in the world
'Cause I can say I got the greatest girl
The greatest girl

Be the greatest man in the world
Oh, be the greatest man in the world
Be the greatest man, the greatest man in the world
The greatest man, be the greatest man in the world",1971,0,Bee Gees
"Just the way that I feel about tomorrow
I'll be sad and alone all the time
It's just the way that you said
You don't love me anymore, then goodbye

I can't believe what you're saying
You don't love me anymore, goodbye

Just the way that I feel about tomorrow
Knowing you won't be there by my side
I wish that I could say to you
Well, can't we just be good friends?

Would you leave the door open
Let me walk in again?

That's the way I've been thinking 'bout tomorrow
I only know that friends can't be lovers again",1971,0,Bee Gees
"I never really want to be alone
I had a woman once in my life
But now she's flown
Every night I keep seeing her face

I never really broke her heart
She was a part of me
But that's the way it was
Now we live separately
When will you walk through this door babe?
When you left I fell to pieces but now I feel as good as if I were dead

I'll keep remembering all my life
Remembering when you were my wife
Remembering all my life
And I'm facing a life that I must go through remembering

I first set my eyes on you one cold February
You made me go out of my way to make me feel fine
Oh, but when will you walk through this door babe?
When you left I fell to pieces, now I feel as good, as good as if I were dead

I'll keep remembering all my life
Remembering when you were my wife
Remembering all my life
And I'm facing a life that I must go through remembering",1971,0,Bee Gees
"I arise, try to see my face through my disguise
And on the balcony I knew inside of me it will be done
Somebody stop the music, somebody stop the tune
Somebody crown the clown with the red balloon
Somebody stop the music, somebody stop the tune
Somebody crown the clown with the red balloon

I arose, the truth will out the more it grows
It's not a mystery, no one was hiding it from me
Somebody stop the music, somebody stop the tune
Somebody crown the clown with the red balloon
Somebody stop the music, somebody stop the tune
Somebody crown the clown with the red balloon

Don't love ya, baby don't love ya
Don't love ya, baby don't love ya
Don't love ya, baby don't love ya
Don't love ya, baby don't love ya
Don't love ya, baby don't love ya

Yeah, today I saw the sun, the sun",1971,0,Bee Gees
"I rolled into the smoke and there I lost my hope
I need someone to know me and to show me
The square peg fits the hole
Why haven't I been told?
I need someone to know me and to show me
Trafalgar, trafalgar, trafalgar, please don't let me down

Ten hundred people roam through the place I call me home

I need someone to know me and to show me
Sitting cross-legged on my own and yet I'm not alone
Don't need no one to show me
No one owns me
Trafalgar, trafalgar, trafalgar
Trafalgar, trafalgar, trafalgar, please don't let me down

Trafalgar",1971,0,Bee Gees
"[Verse 1]
I am the searcher of my fortunes
I've got my right hand on the wheel
We've got to dig the buried treasures
I know, exactly how I feel

[Chorus]
Don't want to live inside myself
I'm much better off alone
But then you must believe
In the falling rain

[Refrain]
Don't wanna live inside myself
Don't wanna live inside myself
Don't wanna live inside myself

[Verse 2]
I went walking through a graveyard
Where the darkness is my friend
I heard all about the beginning
I wanna see just where it ends

[Chorus]

[Refrain]

[Verse 3]
I have fed the jaded tiger
And every tiger knows my name
But just as long, as long as I can see my face
I can tell myself my name

[Chorus]

[Refrain / Coda] repeat x3",1971,0,Bee Gees
"[Verse 1]
Tell me if dreams do come true
If so, then I know that I'm losing you
And you know the address where we live
But I swear there'll be no turning back to you, I won't forgive

[Chorus]
When do I and when do I
Know if there's an answer why?
I wonder if I know where I fit in
How do I and how do I
Stop myself from gonna cry?
I wonder if I know where I fit in

[Verse 2]
Tell me if dreams do come true
If so then I know that I'm losing you
And you know the address where we live
But I swear there'll be no turning back to you
I won't forgive

[Chorus]
When do I and when do I
Know if there's an answer why?
I wonder if I know where I fit in
How do I and how do I
Stop myself from gonna cry?
I wonder if I know where I fit in
And when do I and when do I
When do I
When do I know if I fit in?",1971,0,Bee Gees
"I hear you calling me dearest too
My dearest, I'm nearest, then I've ever been before
To have you calling me dearest once more

My dearest, this picture
My own memory
Wishing this picture was reality

Where do I go from here? The Lord took you away
And if you could see my today, I will remember you
I will remember you

My dearest, sincerest
There's no one but you and
Here in my heart you're my dearest too

Where do I go from here? The Lord took you away
And if you could see me today, I will remember you
I will remember you

My dearest, sincerest
There's no one but you and
Here in my heart you're my dearest too",1971,0,Bee Gees
"Lion in my winter
I'm a lion with no crown

You wanna make me big man , a star on a screen
Some kind of James Brown or something in between
But when I ask for money you smother me in charms
I can't live on glory when your bendin' both my arms

I , I was a lion in winter
And man I had friends for miles around
I was a lion in my winter
What good's a lion Lord, without a crown

You're living in a cave man ,upon your marble throne
You think you own the heavens, but you've got to be alone
You know I prayed for sunshine, a woman with my name
I don't want to live man, you gave away the game

I, I was a lion in winter
And man I had friends for miles around
I was a lion in my winter
What good's a lion Lord , without a crown
I, I was a lion in winter
And man I had friends for miles around
I was a lion in my winter
What good's a lion Lord , without a crown",1971,0,Bee Gees
"I wish there was another year, another time
When people sang and poems rhymed
My name could be Napoleon

A thousand ships, a windy sail
So huge and high, it's tall enough to touch the sky
It's beautiful but hard to find
But I just wasn't born in time

Walking back to Waterloo again
Where do I begin?
If you play indiscreet
You can get a good seat
At the end

I can dream of growing trees
And things that live and grass that's green
In meadows that have never been
But I still place my trust in the Queen

What is life when a man is pressured
Based on wrong or right?
And I don't know what it means
There must be more we haven't seen

Walking back to Waterloo again
Where do I begin?
If you play indiscreet
You can get a good seat
At the end

Walking back to Waterloo again
Where do I begin?
If you play indiscreet
You can get a good seat
At the end

Walking back to Waterloo again
Where do I begin?
If you play indiscreet
You can get a good seat
At the end",1971,0,Bee Gees
"Country women now, what you gonna do with your life
Country women now, why don't you get out of this life
Leave my life alone
The first time I met you I knew you were the devil's daughter
You came on like a river, doin' all the things you oughta
You're a self made women, baby, not a made-to-order
If you had your way, I know you'd make me stay
And that would only bring me down

Country women now, what you gonna do with your life
Country women now, why don't you get out of this life
Leave my life alone

Country women, country women, country women
Country women, country women, ahh...

Country women now, what you gonna do with your life
Country women now, why don't you get out of this life
Leave my life alone
Leave my life alone

Country women now, country women now, country women now
Country women now, country women now, country women now",1971,0,Bee Gees
"[Verse 1]
Everybody screamed
When I kissed the teacher
And they must have thought they dreamed
When I kissed the teacher
All my friends at school
They had never seen the teacher blush, he looked like a fool
Nearly petrified 'cause he was

[Verse 2]
Taken by surprise (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Couldn't quite believe his eyes (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
My whole class went wild
As I held my breath the world stood still, but then he just smiled
I was in the seventh heaven
When I kissed the teacher

[Chorus]
One of these days
Gonna tell him I dream of him every night
One of these days
Gonna show him I care, gonna teach him a lesson alright

[Verse 3]
I was in a trance (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Suddenly I took the chance (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Leaning over me
He was trying to explain the laws of geometry
And I couldn't help it
I just had to kiss the teacher

[Chorus]
One of these days
Gonna tell him I dream of him every night
One of these days
Gonna show him I care, gonna teach him a lesson alright

[Verse 4]
What a crazy day (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
All my sense had flown away (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
My whole class went wild
As I held my breath, the world stood still, but then he just smiled
I was in the seventh heaven
When I kissed the teacher

[Outro]
(I wanna hug, hug, hug him) When I kissed the teacher
(I wanna hug, hug him) When I kissed the teacher
(I wanna hug, hug, hug him) When I kissed the teacher
(I wanna hug, hug him) When I kissed the teacher
(I wanna hug...)",1976,0,ABBA
